ADI,TRECHO
Rua Dário Manoel Cardoso,Toda sua extensão
Travessa Nildo Neponoceno Fernandes,Toda sua extensão
Rua Maria Silva Ramos,Toda sua extensão
Servidão Nivaldo Alfredo Silva,Toda sua extensão
Servidão Laureano Pereira dos Santos,Toda sua extensão
Rua do Marisco,Intersecção com a Rua dos Lordes até a intersecção com a Rodovia Armando Calil Bulos (SC-403)
Rua Luiz Elias Daux,Toda sua extensão
Rua Dante de Prata,Toda sua extensão
Servidão Três Marias,Intersecção da Rua Luiz Elias Daux até a intersecção com a Rodovia Armando Calil Bulos (SC-403)
Rua das Gaivotas,Intersecção com a Estrada Dom João Becker até a intersecção com Rua Recanto do Sol
Rua dos Lordes,Intersecção com a Rua do Marisco até a intersecção com via projetada (AI-301)(2)
Estrada Dom João Becker,Intersecção com a Rua Mercúrio até a intersecção com a Estrada Ver. Onildo Lemos
Rua João Antônio da Silveira,Intersecção com a Rua Henrique Vera do Nascimento até a intersecção com a Rua João Josino da Silva
Rua João Josino da Silva,Intersecção com a Rua João Antonio da Silveira até a intersecção com a Travessa Leopoldo João dos Santos
Travessa Leopoldo João Santos,Toda sua extensão
Rua Rita Lourenço da Silveira,Intersecção com a Rua Henrique Veras do Nascimento até a intersecção com a Travessa Leopoldo João dos Santos
Rua Henrique Veras do Nascimento,Intersecção com a Rua Rita Lourenço da Silveira até a intersecção com a Avenida Afonso Delambert Neto
Avenida Afonso Delambert Neto,Intersecção com a Rua Henrique Vera do Nascimento até a intersecção com a Rua Moacyr Pereira Junior
Avenida Afonso Delambert Neto,Intersecção com a Rua Laurindo Januário da Silveira até a intersecção com a Rua Moacyr Pereira Junior
Rua Moacyr Pereira Junior,Toda sua extensão
Rua Laurindo Januário da Silveira,Intersecção com a Rua Hypólito do Valle Pereira até a intersecção com a Avenida Afonso Delambert Neto
Rua Pacheco da Costa,Intersecção com a Avenida Afonso Delambert Neto até a intersecção com a Rua Manoel Severino de Oliveira
Rua Manoel Severino de Oliveira,Intersecção com a Rua João Pacheco da Costa até a intersecção com a Rua Moacyr Pereira Junior
Rua Laurindo Januário da Silveira,Intersecção com a Rua Ver. Osni Ortiga até a intersecção com a Servidão Kaíros
Rua Ver. Osni Ortiga,"Das coordenadas 27°37'44.0""S 48°28'20.1""W até as coordenadas 27°38'13.6""S 48°28'23.4""W"
Rua Manoel Severino de Oliveira,Intersecção com a Rua Moacyr Pereira Junior até a intersecção com a Rua Henrique Vera do Nascimento
Estrada João Belarmino da Silva,Intersecção com a Rua das Opalas até a intersecção com a Rua Janauba
Rodovia Francisco Thomaz dos Santos (SC-406),Intersecção com a Rua Hermes Guedes da Fonseca até a intersecção com a Estrada Rozalia Paulina Ferreira
Rua Hermes Guedes da Fonseca,Toda sua extensão
Rua Afonso Fortkamp,Toda sua extensão
Avenida Antônio Borges dos Santos,Intersecção com a Rodovia Francisco Thomas dos Santos (SC-406) até a intersecção com a Rua Fernando Beck
Rua Intendente Antônio Damasco,"Intersecção com a Servidão José Roque Damasco até as coordenadas 27°30'06.8""S 48°29'32.2""W"
EstRua Manoel Leôncio de Souza Brito,"Intersecção com a Rodovia José Carlos Daux (SC-401) até as coordenadas 27°28'10.7""S 48°27'46.8""W"
Rodovia José Carlos Daux,"Das coordenadas 27°28'11.0""S 48°28'08.3""W até as coordenadas 27°27'56.4""S 48°27'47.0""W"
Rodovia Açoriana,Intersecção com a Rua Jose Correa até a intersecção com a Rua das Areias
Rua Das Areias,Toda sua extensão
Rua Jose Correia,Toda sua extensão
Rodovia Baldicero Filomeno,Intersecção com a Rodovia Açoriana até a intersecção com a Rodovia Francisco Magno Vieira
Rua Ver. Osvaldo Bittencourt,Intersecção com a Rodovia Dep. Diomício Freitas até a intersecção com a Rua Saul Silveira Penha
Rua Saul Silveira Penha,Intersecção com a Rua Ver. Osvaldo Bittencourt até a intersecção com a Rua Arco Iris
Rua Arco Iris,Intersecção com a Rua Saul Silveira Penha até a intersecção com a Rua João Sallum
Rodovia Dep. Diomício Freitas,"Da Avenida Lages até as coordenadas 27°39'38.1""S 48°31'43.3""W"
Rua Bartolomeu de Gusmão,Intersecção com a Rua Dep. Diomício de Freitas até a intersecção com a Rua Dr. Zamenhof
Rua Dr. Zamenhof,Intersecção com a Rua Bartolomeu de Gusmão até a Rua Loteamento Jardim das Orquídeas (SCI 903)
